"samples_per_group","local","test","loci","n_loci","median_df_paper","alpha","false_positives","rate","rate_over_alpha"
4,"disp","t_df_code","all",60474,11.2133351547944,0.01,468,0.00773886298243873,0.773886298243873
4,"disp","t_df_code","all",60474,11.2133351547944,0.001,50,0.000826801600687899,0.826801600687899
4,"disp","t_df_code","meth_10_90",44428,11.2133351547944,0.05,2182,0.0491131718735932,0.982263437471865
4,"disp","t_df_code","meth_10_90",44428,11.2133351547944,0.01,424,0.00954353110650941,0.954353110650941
4,"disp","t_df_code","meth_10_90",44428,11.2133351547944,0.001,48,0.00108039974790673,1.08039974790673
4,"disp","t_df_code","overdispersed",22555,11.2133351547944,0.05,1679,0.0744402571491909,1.48880514298382
4,"disp","t_df_code","overdispersed",22555,11.2133351547944,0.01,384,0.0170250498780758,1.70250498780758
4,"disp","t_df_code","overdispersed",22555,11.2133351547944,0.001,49,0.0021724673021503,2.1724673021503
4,"disp","chisq","all",60474,11.2133351547944,0.05,4017,0.0664252405992658,1.32850481198532
4,"disp","chisq","all",60474,11.2133351547944,0.01,1143,0.0189006845917254,1.89006845917254
4,"disp","chisq","all",60474,11.2133351547944,0.001,257,0.0042497602275358,4.2497602275358
4,"disp","chisq","meth_10_90",44428,11.2133351547944,0.05,3269,0.0735797244980643,1.47159448996129
4,"disp","chisq","meth_10_90",44428,11.2133351547944,0.01,1021,0.0229810029710993,2.29810029710993
4,"disp","chisq","meth_10_90",44428,11.2133351547944,0.001,242,0.00544701539569641,5.44701539569641
4,"disp","chisq","overdispersed",22555,11.2133351547944,0.05,2364,0.104810463311904,2.09620926623808
4,"disp","chisq","overdispersed",22555,11.2133351547944,0.01,846,0.0375083130126358,3.75083130126358
4,"disp","chisq","overdispersed",22555,11.2133351547944,0.001,222,0.00984260696076258,9.84260696076258
4,"disp_meth","t_df_paper","all",60474,11.2133351547944,0.05,1724,0.0285081191917188,0.570162383834375
4,"disp_meth","t_df_paper","all",60474,11.2133351547944,0.01,193,0.00319145417865529,0.319145417865529
4,"disp_meth","t_df_paper","all",60474,11.2133351547944,0.001,7,0.000115752224096306,0.115752224096306
4,"disp_meth","t_df_paper","meth_10_90",44428,11.2133351547944,0.05,1385,0.0311740343927253,0.623480687854506
4,"disp_meth","t_df_paper","meth_10_90",44428,11.2133351547944,0.01,161,0.00362384082110381,0.362384082110381
4,"disp_meth","t_df_paper","meth_10_90",44428,11.2133351547944,0.001,5,0.000112541640406951,0.112541640406951
4,"disp_meth","t_df_paper","overdispersed",22555,11.2133351547944,0.05,967,0.0428729771669253,0.857459543338506
4,"disp_meth","t_df_paper","overdispersed",22555,11.2133351547944,0.01,123,0.00545333628907116,0.545333628907116
4,"disp_meth","t_df_paper","overdispersed",22555,11.2133351547944,0.001,5,0.000221680336954112,0.221680336954112
4,"disp_meth","t_df_code","all",60474,11.2133351547944,0.05,1959,0.0323940867149519,0.647881734299038
4,"disp_meth","t_df_code","all",60474,11.2133351547944,0.01,257,0.0042497602275358,0.42497602275358
4,"disp_meth","t_df_code","all",60474,11.2133351547944,0.001,11,0.000181896352151338,0.181896352151338
4,"disp_meth","t_df_code","meth_10_90",44428,11.2133351547944,0.05,1585,0.0356757000090033,0.713514000180067
4,"disp_meth","t_df_code","meth_10_90",44428,11.2133351547944,0.01,214,0.00481678220941748,0.481678220941748
4,"disp_meth","t_df_code","meth_10_90",44428,11.2133351547944,0.001,9,0.000202574952732511,0.202574952732511
4,"disp_meth","t_df_code","overdispersed",22555,11.2133351547944,0.05,1089,0.0482819773886056,0.965639547772113
4,"disp_meth","t_df_code","overdispersed",22555,11.2133351547944,0.01,170,0.00753713145643981,0.753713145643981
4,"disp_meth","t_df_code","overdispersed",22555,11.2133351547944,0.001,8,0.000354688539126579,0.354688539126579
4,"disp_meth","chisq","all",60474,11.2133351547944,0.05,3153,0.0521381089393789,1.04276217878758
4,"disp_meth","chisq","all",60474,11.2133351547944,0.01,798,0.0131957535469789,1.31957535469789
4,"disp_meth","chisq","all",60474,11.2133351547944,0.001,111,0.00183549955352714,1.83549955352714
4,"disp_meth","chisq","meth_10_90",44428,11.2133351547944,0.05,2547,0.0573287116233006,1.14657423246601
4,"disp_meth","chisq","meth_10_90",44428,11.2133351547944,0.01,669,0.01505807148645,1.505807148645
4,"disp_meth","chisq","meth_10_90",44428,11.2133351547944,0.001,104,0.00234086612046457,2.34086612046457
4,"disp_meth","chisq","overdispersed",22555,11.2133351547944,0.05,1647,0.0730215029926845,1.46043005985369
4,"disp_meth","chisq","overdispersed",22555,11.2133351547944,0.01,514,0.0227887386388827,2.27887386388827
4,"disp_meth","chisq","overdispersed",22555,11.2133351547944,0.001,88,0.00390157393039237,3.90157393039237
5,"none","t_df_paper","all",78343,7,0.05,1974,0.0251968905964796,0.503937811929592
5,"none","t_df_paper","all",78343,7,0.01,132,0.00168489845933906,0.168489845933906
5,"none","t_df_paper","all",78343,7,0.001,2,2.55287645354403e-05,0.0255287645354403
5,"none","t_df_paper","meth_10_90",57116,7,0.05,1688,0.0295538903284544,0.591077806569087
5,"none","t_df_paper","meth_10_90",57116,7,0.01,126,0.00220603683731354,0.220603683731354
5,"none","t_df_paper","meth_10_90",57116,7,0.001,2,3.50164577351355e-05,0.0350164577351355
5,"none","t_df_paper","overdispersed",28192,7,0.05,1217,0.0431682746878547,0.863365493757094
5,"none","t_df_paper","overdispersed",28192,7,0.01,116,0.00411464245175936,0.411464245175936
5,"none","t_df_paper","overdispersed",28192,7,0.001,2,7.09421112372304e-05,0.0709421112372304
5,"none","t_df_code","all",78343,7,0.05,2549,0.0325364104004187,0.650728208008373
5,"none","t_df_code","all",78343,7,0.01,242,0.00308898050878828,0.308898050878828
5,"none","t_df_code","all",78343,7,0.001,7,8.93506758740411e-05,0.0893506758740411
5,"none","t_df_code","meth_10_90",57116,7,0.05,2161,0.0378352825828139,0.756705651656278
5,"none","t_df_code","meth_10_90",57116,7,0.01,234,0.00409692555501086,0.409692555501086
5,"none","t_df_code","meth_10_90",57116,7,0.001,7,0.000122557602072974,0.122557602072974
5,"none","t_df_code","overdispersed",28192,7,0.05,1532,0.0543416572077185,1.08683314415437
5,"none","t_df_code","overdispersed",28192,7,0.01,207,0.00734250851305335,0.734250851305335
5,"none","t_df_code","overdispersed",28192,7,0.001,7,0.000248297389330306,0.248297389330306
5,"none","chisq","all",78343,7,0.05,4862,0.0620604265856554,1.24120853171311
5,"none","chisq","all",78343,7,0.01,1228,0.0156746614247603,1.56746614247603
5,"none","chisq","all",78343,7,0.001,224,0.00285922162796931,2.85922162796931
5,"none","chisq","meth_10_90",57116,7,0.05,3985,0.0697702920372575,1.39540584074515
5,"none","chisq","meth_10_90",57116,7,0.01,1090,0.0190839694656489,1.90839694656489
5,"none","chisq","meth_10_90",57116,7,0.001,216,0.00378177743539464,3.78177743539464
5,"none","chisq","overdispersed",28192,7,0.05,2626,0.0931469920544835,1.86293984108967
5,"none","chisq","overdispersed",28192,7,0.01,828,0.0293700340522134,2.93700340522134
5,"none","chisq","overdispersed",28192,7,0.001,192,0.00681044267877412,6.81044267877412
5,"disp","t_df_paper","all",78343,13.742099249626,0.05,3367,0.0429776750954138,0.859553501908275
5,"disp","t_df_paper","all",78343,13.742099249626,0.01,569,0.00726293351033277,0.726293351033277
5,"disp","t_df_paper","all",78343,13.742099249626,0.001,64,0.00081692046513409,0.81692046513409
5,"disp","t_df_paper","meth_10_90",57116,13.742099249626,0.05,2773,0.0485503186497654,0.971006372995308
5,"disp","t_df_paper","meth_10_90",57116,13.742099249626,0.01,518,0.0090692625534001,0.90692625534001
5,"disp","t_df_paper","meth_10_90",57116,13.742099249626,0.001,60,0.00105049373205407,1.05049373205407
5,"disp","t_df_paper","overdispersed",28192,13.742099249626,0.05,2111,0.0748793984108967,1.49758796821793
5,"disp","t_df_paper","overdispersed",28192,13.742099249626,0.01,483,0.0171325198637911,1.71325198637911
5,"disp","t_df_paper","overdispersed",28192,13.742099249626,0.001,62,0.00219920544835414,2.19920544835414
5,"disp","t_df_code","all",78343,13.742099249626,0.05,3662,0.0467431678643912,0.934863357287824
5,"disp","t_df_code","all",78343,13.742099249626,0.01,652,0.00832237723855354,0.832237723855354
5,"disp","t_df_code","all",78343,13.742099249626,0.001,78,0.000995621816882172,0.995621816882172
5,"disp","t_df_code","meth_10_90",57116,13.742099249626,0.05,3023,0.0529273758666573,1.05854751733315
